what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1422656510904
started,bundle,org.eclipse.osgi,3.10.0.v20140606-1445,"org.eclipse.osgi",1422656510908
started,bundle,org.eclipse.equinox.simpleconfigurator,1.1.0.v20131217-1203,"org.eclipse.equinox.simpleconfigurator",1422656510909
started,bundle,com.ibm.icu,52.1.0.v201404241930,"com.ibm.icu",1422656510910
started,bundle,org.apache.felix.gogo.command,0.10.0.v201209301215,"org.apache.felix.gogo.command",1422656510911
started,bundle,org.apache.felix.gogo.runtime,0.10.0.v201209301036,"org.apache.felix.gogo.runtime",1422656510942
started,bundle,org.apache.felix.gogo.shell,0.10.0.v201212101605,"org.apache.felix.gogo.shell",1422656510943
started,bundle,org.eclipse.compare.core,3.5.400.v20130903-0736,"org.eclipse.compare.core",1422656510944
started,bundle,org.eclipse.core.contenttype,3.4.200.v20140207-1251,"org.eclipse.core.contenttype",1422656510945
started,bundle,org.eclipse.core.databinding.observable,1.4.1.v20140210-1835,"org.eclipse.core.databinding.observable",1422656510946
started,bundle,org.eclipse.core.expressions,3.4.600.v20140128-0851,"org.eclipse.core.expressions",1422656510965
started,bundle,org.eclipse.core.filebuffers,3.5.400.v20140127-1516,"org.eclipse.core.filebuffers",1422656510966
started,bundle,org.eclipse.core.filesystem,1.4.100.v20140514-1614,"org.eclipse.core.filesystem",1422656510968
started,bundle,org.eclipse.core.jobs,3.6.0.v20140424-0053,"org.eclipse.core.jobs",1422656510968
started,bundle,org.eclipse.core.net,1.2.200.v20140124-2013,"org.eclipse.core.net",1422656510970
started,bundle,org.eclipse.core.resources,3.9.0.v20140514-1307,"org.eclipse.core.resources",1422656510971
started,bundle,org.eclipse.core.runtime,3.10.0.v20140318-2214,"org.eclipse.core.runtime",1422656510972
started,bundle,org.eclipse.core.runtime.compatibility,3.2.200.v20140128-0851,"org.eclipse.core.runtime.compatibility",1422656510973
started,bundle,org.eclipse.debug.core,3.9.0.v20140521-1435,"org.eclipse.debug.core",1422656510974
started,bundle,org.eclipse.debug.ui,3.10.0.v20140604-1637,"org.eclipse.debug.ui",1422656510975
started,bundle,org.eclipse.e4.core.commands,0.10.2.v20140424-2344,"org.eclipse.e4.core.commands",1422656510976
started,bundle,org.eclipse.e4.core.contexts,1.3.100.v20140407-1019,"org.eclipse.e4.core.contexts",1422656510978
started,bundle,org.eclipse.e4.core.di,1.4.0.v20140414-1837,"org.eclipse.e4.core.di",1422656510982
started,bundle,org.eclipse.e4.core.di.extensions,0.12.0.v20140417-2033,"org.eclipse.e4.core.di.extensions",1422656510983
started,bundle,org.eclipse.e4.core.services,1.2.0.v20140509-1840,"org.eclipse.e4.core.services",1422656510983
started,bundle,org.eclipse.e4.ui.bindings,0.10.200.v20140424-2042,"org.eclipse.e4.ui.bindings",1422656510984
started,bundle,org.eclipse.e4.ui.css.swt,0.11.100.v20140522-1045,"org.eclipse.e4.ui.css.swt",1422656510985
started,bundle,org.eclipse.e4.ui.css.swt.theme,0.9.300.v20140424-2042,"org.eclipse.e4.ui.css.swt.theme",1422656510986
started,bundle,org.eclipse.e4.ui.di,1.0.0.v20140328-2112,"org.eclipse.e4.ui.di",1422656510987
started,bundle,org.eclipse.e4.ui.model.workbench,1.1.0.v20140512-1820,"org.eclipse.e4.ui.model.workbench",1422656510988
started,bundle,org.eclipse.e4.ui.services,1.1.0.v20140328-1925,"org.eclipse.e4.ui.services",1422656510991
started,bundle,org.eclipse.e4.ui.workbench,1.1.0.v20140528-1949,"org.eclipse.e4.ui.workbench",1422656510996
started,bundle,org.eclipse.e4.ui.workbench.addons.swt,1.1.0.v20140602-1537,"org.eclipse.e4.ui.workbench.addons.swt",1422656510998
started,bundle,org.eclipse.e4.ui.workbench.renderers.swt,0.12.0.v20140521-1818,"org.eclipse.e4.ui.workbench.renderers.swt",1422656510999
started,bundle,org.eclipse.e4.ui.workbench.swt,0.12.100.v20140530-1436,"org.eclipse.e4.ui.workbench.swt",1422656511000
started,bundle,org.eclipse.equinox.app,1.3.200.v20130910-1609,"org.eclipse.equinox.app",1422656511001
started,bundle,org.eclipse.equinox.common,3.6.200.v20130402-1505,"org.eclipse.equinox.common",1422656511002
started,bundle,org.eclipse.equinox.console,1.1.0.v20140131-1639,"org.eclipse.equinox.console",1422656511003
started,bundle,org.eclipse.equinox.ds,1.4.200.v20131126-2331,"org.eclipse.equinox.ds",1422656511004
started,bundle,org.eclipse.equinox.event,1.3.100.v20140115-1647,"org.eclipse.equinox.event",1422656511006
started,bundle,org.eclipse.equinox.p2.core,2.3.0.v20131211-1531,"org.eclipse.equinox.p2.core",1422656511021
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.1.0.v20131211-1531,"org.eclipse.equinox.p2.directorywatcher",1422656511025
started,bundle,org.eclipse.equinox.p2.engine,2.3.0.v20140506-1720,"org.eclipse.equinox.p2.engine",1422656511034
