what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.9.2.v20140211-0100,"org.eclipse.mylyn.context.core",1432162229831
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.context.tasks.ui",1432162229832
started,bundle,org.eclipse.mylyn.monitor.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.monitor.ui",1432162229833
started,bundle,org.eclipse.mylyn.tasks.index.core,3.9.2.v20140211-0100,"org.eclipse.mylyn.tasks.index.core",1432162229833
started,bundle,org.eclipse.mylyn.tasks.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.tasks.ui",1432162229834
started,bundle,org.eclipse.mylyn.team.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.team.ui",1432162229835
started,bundle,org.eclipse.rse.connectorservice.local,2.1.400.201205062159,"org.eclipse.rse.connectorservice.local",1432162229836
started,bundle,org.eclipse.rse.core,3.3.100.201307171557,"org.eclipse.rse.core",1432162229836
started,bundle,org.eclipse.rse.services,3.2.200.201211090626,"org.eclipse.rse.services",1432162229837
started,bundle,org.eclipse.rse.services.local,2.1.500.201305211438,"org.eclipse.rse.services.local",1432162229837
started,bundle,org.eclipse.rse.subsystems.files.core,3.3.1.201306281330,"org.eclipse.rse.subsystems.files.core",1432162229837
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.300.201205062159,"org.eclipse.rse.subsystems.files.local",1432162229838
started,bundle,org.eclipse.rse.ui,3.3.100.201306211706,"org.eclipse.rse.ui",1432162229840
started,bundle,org.eclipse.team.cvs.core,3.3.502.v20131127-1657,"org.eclipse.team.cvs.core",1432162229843
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1432162229844
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1432162229844
started,bundle,org.eclipse.emf.ecore,2.10.1.v20140901-1043,"org.eclipse.emf.ecore",1432162229844
started,bundle,org.eclipse.emf.ecore.xmi,2.10.1.v20140901-1043,"org.eclipse.emf.ecore.xmi",1432162229845
started,bundle,org.eclipse.fx.core,1.1.0.201411050703,"org.eclipse.fx.core",1432162229846
started,bundle,org.eclipse.fx.ide.fxml,1.1.0.201411050807,"org.eclipse.fx.ide.fxml",1432162229847
started,bundle,org.eclipse.fx.ide.jdt.core,1.1.0.201411050807,"org.eclipse.fx.ide.jdt.core",1432162229848
started,bundle,org.eclipse.fx.ide.model,1.1.0.201411050807,"org.eclipse.fx.ide.model",1432162229849
started,bundle,org.eclipse.fx.osgi.util,1.1.0.201411050703,"org.eclipse.fx.osgi.util",1432162229869
started,bundle,org.eclipse.jdt.apt.core,3.3.600.v20140311-1758,"org.eclipse.jdt.apt.core",1432162229886
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20131113-0353,"org.eclipse.jdt.apt.pluggable.core",1432162229887
started,bundle,org.eclipse.pde.core,3.10.1.v20140902-1534,"org.eclipse.pde.core",1432162229888
started,bundle,org.eclipse.pde.launching,3.6.200.v20140521-1231,"org.eclipse.pde.launching",1432162229889
started,bundle,org.eclipse.pde.ui,3.8.101.v20140902-1534,"org.eclipse.pde.ui",1432162229892
started,bundle,org.eclipse.ui.trace,1.0.201.v20140702-1807,"org.eclipse.ui.trace",1432162229893
started,bundle,org.eclipse.ui.views.log,1.0.500.v20140512-1221,"org.eclipse.ui.views.log",1432162229893
started,bundle,org.eclipse.wst.sse.ui,1.3.300.v201404240319,"org.eclipse.wst.sse.ui",1432162229895
started,bundle,org.eclipse.core.resources.semantic,0.6.3.v20140217-2212,"org.eclipse.core.resources.semantic",1432162229896
started,bundle,org.eclipse.e4.tools.context.spy,0.1.0.v20140708-1626,"org.eclipse.e4.tools.context.spy",1432162229897
started,bundle,org.eclipse.e4.tools.css.spy,0.12.0.v20140707-1917,"org.eclipse.e4.tools.css.spy",1432162229898
started,bundle,org.eclipse.e4.tools.emf.editor3x,0.12.0.v20140726-0138,"org.eclipse.e4.tools.emf.editor3x",1432162229899
started,bundle,org.eclipse.e4.tools.emf.liveeditor,0.12.0.v20140716-1614,"org.eclipse.e4.tools.emf.liveeditor",1432162229899
started,bundle,org.eclipse.e4.tools.emf.ui,0.12.0.v20140728-1808,"org.eclipse.e4.tools.emf.ui",1432162229899
started,bundle,org.eclipse.e4.tools.event.spy,0.15.0.v20140707-1917,"org.eclipse.e4.tools.event.spy",1432162229900
started,bundle,org.eclipse.e4.tools.services,0.12.0.v20140318-2103,"org.eclipse.e4.tools.services",1432162229901
started,bundle,org.eclipse.e4.tools.spy,0.1.0.v20140529-0919,"org.eclipse.e4.tools.spy",1432162229901
started,bundle,org.eclipse.emf.common,2.10.0.v20140514-1158,"org.eclipse.emf.common",1432162229901
started,bundle,org.eclipse.emf.edit,2.10.0.v20140519-0339,"org.eclipse.emf.edit",1432162229902
started,bundle,org.eclipse.jdt.core,3.10.0.v20140604-1726,"org.eclipse.jdt.core",1432162229903
started,bundle,org.eclipse.jdt.launching,3.7.100.v20140428-1912,"org.eclipse.jdt.launching",1432162229904
started,bundle,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui",1432162229904
started,bundle,org.eclipse.platform.discovery.compatibility,0.11.0.v20140117-1516,"org.eclipse.platform.discovery.compatibility",1432162229905
started,bundle,org.eclipse.platform.discovery.core,0.11.0.v20140117-1516,"org.eclipse.platform.discovery.core",1432162229906
started,bundle,org.eclipse.platform.discovery.destprefs,0.11.0.v20140117-1516,"org.eclipse.platform.discovery.destprefs",1432162229907
started,bundle,org.eclipse.platform.discovery.integration,0.11.0.v20140117-1516,"org.eclipse.platform.discovery.integration",1432162229907
started,bundle,org.eclipse.platform.discovery.ui,0.11.0.v20140117-1516,"org.eclipse.platform.discovery.ui",1432162229908
started,bundle,org.eclipse.platform.discovery.util,0.11.0.v20140117-1516,"org.eclipse.platform.discovery.util",1432162229908
started,bundle,org.eclipse.ui.resources.semantic,0.6.1.v20140117-1517,"org.eclipse.ui.resources.semantic",1432162229910
started,bundle,org.eclipse.xtext,2.7.3.v201411190455,"org.eclipse.xtext",1432162229910
started,bundle,org.eclipse.xtext.builder,2.7.3.v201411190455,"org.eclipse.xtext.builder",1432162229917
started,bundle,org.eclipse.xtext.ui,2.7.3.v201411190455,"org.eclipse.xtext.ui",1432162229917
started,bundle,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.adt",1432162229917
started,bundle,com.android.ide.eclipse.base,23.0.6.1720515,"com.android.ide.eclipse.base",1432162229917
os,sysinfo,,,"win32",1432162229923
arch,sysinfo,,,"x86_64",1432162229923
ws,sysinfo,,,"win32",1432162229950
locale,sysinfo,,,"en_US",1432162229950
processors,sysinfo,,,"4",1432162229950
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1432162229950
java.runtime.version,sysinfo,,,"1.8.0_40-b26",1432162229950
java.specification.name,sysinfo,,,"Java Platform API Specification",1432162229950
java.specification.vendor,sysinfo,,,"Oracle Corporation",1432162229950
java.specification.version,sysinfo,,,"1.8",1432162229950
java.vendor,sysinfo,,,"Oracle Corporation",1432162229950
java.version,sysinfo,,,"1.8.0_40",1432162229950
java.vm.info,sysinfo,,,"mixed mode",1432162229950
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1432162229950
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1432162229950
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1432162229950
java.vm.specification.version,sysinfo,,,"1.8",1432162229950
java.vm.vendor,sysinfo,,,"Oracle Corporation",1432162229950
java.vm.version,sysinfo,,,"25.40-b25",1432162229950
started,bundle,org.eclipse.debug.ui,3.10.0.v20140604-1637,"org.eclipse.debug.ui",1432162230229
started,bundle,org.eclipse.cdt.dsf,2.4.0.201402142303,"org.eclipse.cdt.dsf",1432162230241
started,bundle,org.eclipse.cdt.dsf.gdb,4.3.0.201402142303,"org.eclipse.cdt.dsf.gdb",1432162230246
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.4.0.201402142303,"org.eclipse.cdt.dsf.gdb.ui",1432162230248
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1432162230772
started,bundle,org.eclipse.xtext.common.types.shared,2.7.3.v201411190455,"org.eclipse.xtext.common.types.shared",1432162231311
